code,term
14A7.,H/O: CVA &/or stroke
2466.,O/E - BP reading raised
2467.,O/E - BP reading very high
323..,ECG: myocardial infarction
3232.,ECG: old myocardial infarction
3233.,ECG: anteroseptal infarction
3234.,ECG:posterior/inferior infarct
3235.,ECG: subendocardial infarct
3236.,ECG: lateral infarction
323Z.,ECG: myocardial infarct NOS
32B..,Q wave
32B2.,ECG: Q wave abnormal
32B3.,Pathological Q wave
32BZ.,ECG: Q wave NOS
5593.,Femoral arteriogram abnormal
55A2.,Lower limb arteriogram abnorm.
662..,Cardiac disease monitoring (& [hypertension])
6627.,Good hypertension control
6628.,Poor hypertension control
6629.,Hypertension:follow-up default
662F.,Hypertension treatm. started
662G.,Hypertensive treatm.changed
662H.,Hypertension treatm.stopped
662K.,Angina control
662K0,Angina control - good
662K1,Angina control - poor
662K2,Angina control - improving
662K3,Angina control - worsening
662Kz,Angina control NOS
662M.,Stroke monitoring
662O.,On treatment for hypertension
662P.,Hypertension monitoring
7900.,Heart and lung transplant
79000,Allotransplant of heart and lung
79001,Revision of transplantation of heart and lung
7900y,Other specified transplantation of heart and lung
7900z,Transplantation of heart and lung NOS
7901.,Other transplantation of heart
79010,Allotransplantation of heart NEC
79011,Xenotransplant of heart
79012,Implantation of prosthetic heart
79013,Heterotopic allotransplant of heart
79014,Revision of implantation of prosthetic heart
79015,Revision of transplantation of heart NEC
7901y,Other specified other transplantation of heart
7901z,Other transplantation of heart NOS
7902.,Repair of tetralogy of Fallot
79020,Correct Fallot tetralogy valved right ventr outflow conduit
79021,Correct Fallot tetralogy- right ventric outflow conduit NEC
79022,Correct Fallot tetralogy- right ventricular outflow patch
79023,Revision of correction of tetralogy of Fallot
7902y,Other specified correction of tetralogy of Fallot
7902z,Correction of tetralogy of Fallot NOS
79030,Atrial inversion operation with patch
79031,Atrial inversion operation using atrial wall
7903y,Atrial inversion op for transposition of great vessels OS
7903z,Atrial inversion op for transposition of great vessels NOS
7904.,Other correction of transposition of great vessels
79040,Arterial switch operation
7904y,Other correction of transposition of great vessels OS
7904z,Other correction of transposition of great vessels NOS
7905.,Repair of total anomalous pulmonary venous connection
79050,Correct total anomal pulm venous connect to supracard vessel
79051,Correct total anomal pulm venous connect to coronary sinus
79052,Correct total anomal pulm venous connect to infradiaph vess
7905y,Correction of total anomalous pulmonary venous connection OS
7905z,Correction total anomalous pulmonary venous connection NOS
790H3,Revascularisation of wall of heart
792..,Coronary artery operations (& bypass)
7920.,Saphenous vein graft bypass of coronary artery
