code,term
1010649005,Acute vestibular syndrome due to anxiety and fear
10211000132109,Perinatal depression
102912007,Fear of death
1036481000000106,Self-referral to Improving Access to Psychological Therapies programme
1038261000000100,Maternal postnatal depression
10532003,"Primary degenerative dementia of the Alzheimer type, presenile onset, with depression"
1053791000000108,Signposting to Improving Access to Psychological Therapies service
10586006,Occupation-related stress disorder
10743001000119103,Anxiety disorder in mother complicating childbirth
1084061000000106,Depressive personality disorder
1086661000000108,"Reactive depression, prolonged single episode"
1086671000000101,"Reactive depression, single episode"
1086681000000104,"Reactive depression, recurrent"
1086691000000102,"Reactive depression, first episode"
1089631000000109,Recurrent depression with current severe episode without psychotic features
1089641000000100,Recurrent depression with current moderate episode
109006,Anxiety disorder of childhood OR adolescence
11003002,Nervous diarrhea
111475002,Neurosis
112001000119100,Positive screening for depression on Patient Health Questionnaire 9
11458009,"Anticipatory anxiety, mild"
12398201000119102,Anxiety disorder caused by methamphetamine
129869000,Death anxiety
133121000119109,Severe seasonal affective disorder
13448004,Nervousness
139476005,Anxiousness (& symptom)
139480000,(Depressed (& symptom)) or (unhappy)
139598003,Anxious cognitions
139947002,O/E - depressed
139948007,O/E - anxious
139949004,O/E - nervous
14070001,Multi-infarct dementia with depression
14183003,"Chronic major depressive disorder, single episode"
15277004,Hallucinogen-induced anxiety disorder
154876006,Seasonal affective disorder
154964007,Mixed anxiety and depressive disorder
154965008,Mild depression
154969002,Seasonal affective disorder
154970001,Recurrent depression
15639000,"Moderate major depression, single episode"
158735002,[D]Nervousness
162191009,"[""Nerves""] or [nervousness] or [nervous tension]"
162192002,Anxiousness (& symptom)
162196004,(Depressed) or (C/O feeling: [depressed] or [unhappy])
16238181000119101,Depressive disorder caused by amphetamine
16238221000119109,Depressive disorder caused by methamphetamine
16264621000119109,Recurrent mild major depressive disorder co-occurrent with anxiety
16264821000119108,Recurrent severe major depressive disorder co-occurrent with anxiety
16264901000119109,Recurrent moderate major depressive disorder co-occurrent with anxiety
16265061000119105,Recurrent major depressive disorder co-occurrent with anxiety in full remission
16265301000119106,Recurrent major depressive disorder in partial remission co-occurrent with anxiety
16265951000119109,Mild major depressive disorder co-occurrent with anxiety single episode
16266831000119100,Moderate major depressive disorder co-occurrent with anxiety single episode
16266991000119108,Severe major depressive disorder co-occurrent with anxiety single episode
162722001,On examination - depressed
162723006,On examination - anxious
162724000,On examination - nervous
1686006,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder"
186151000000108,Loss of interest in previously enjoyable activity
186751000000109,O/E - panic attack
18818009,Moderate recurrent major depression
189591000000101,Loss of interest in previously enjoyable activity
190191000000103,O/E - panic attack
191455000,Presenile dementia with depression
191459006,Senile dementia with depression
191466007,Arteriosclerotic dementia with depression
191495003,Drug-induced depressive state
191599006,Depression: [single major episode] or [agitated] or [endogenous (including first episode)]
191600009,"Single major depressive episode, unspecified"
191601008,"Single major depressive episode, mild"
191602001,"Single major depressive episode, moderate"
191603006,"Single major depressive episode, severe, without mention of psychosis"
191607007,Single major depressive episode NOS
191608002,Recurrent depression: [major episode] or [endogenous]
191609005,"Recurrent major depressive episodes, unspecified"
191610000,"Recurrent major depressive episodes, mild"
191611001,"Recurrent major depressive episodes, moderate"
191612008,"Recurrent major depressive episodes, severe, without mention of psychosis"
191616006,Recurrent depression
191617002,Recurrent major depressive episode NOS
191655007,Seasonal affective disorder
191659001,Atypical depressive disorder
191703000,Anxiety disorder
191704006,Anxiety state unspecified
191705007,(Panic disorder) or (panic attack)
191706008,Generalised anxiety disorder
191707004,Mixed anxiety and depressive disorder
191708009,Chronic anxiety
191709001,Recurrent anxiety
191711005,Anxiety state NOS
191732002,Fear of death
191740008,(Neurotic depression reactive type) or (postnatal depression)
191952007,Somatoform autonomic dysfunction - respiratory tract
191962000,Neurocirculatory asthenia
192037000,Acute panic state due to acute stress reaction
192041001,Acute situational disturbance
192042008,Acute post-trauma stress state
192043003,Other acute stress reaction NOS
192046006,Brief depressive adjustment reaction
192049004,Prolonged depressive adjustment reaction
192078003,Depressive disorder NEC
192079006,Postviral depression
192080009,Chronic depression
192108001,Disturbance of anxiety and fearfulness in childhood and adolescence
192110004,Childhood and adolescent fearfulness disturbance
192111000,Disturbance of anxiety and fearfulness in childhood and adolescence NOS
192366006,Single major depressive episode
192367002,[X]Mild depressive episode
192368007,[X]Moderate depressive episode
192369004,[X] Severe depressive episode without psychotic symptoms: (& [single episode agitated depression] or [single episode major depression] or [single episode vital depression])
192371004,[X] Depression: [other episodes] or [atypical] or [single episode masked NOS]
192372006,"[X] (Depression: [episode, unspecified] or [NOS (& reactive)] or [depressive disorder NOS]"
192375008,"[X]Recurrent depressive disorder, current episode mild"
192376009,"[X]Recurrent depressive disorder, current episode moderate"
192380004,[X]Other recurrent depressive disorders
192384008,Dysthymia
192399008,[X]Other anxiety disorders
192400001,[X]Panic disorder [episodic paroxysmal anxiety]
192401002,Generalised anxiety disorder
192402009,[X]Mixed anxiety and depressive disorder (& mild anxiety depression)
192403004,[X]Other mixed anxiety disorders
192404005,[X] Anxiety disorders: [other specified] or [anxiety hysteria]
192405006,"[X]Anxiety disorder, unspecified"
192411009,"[X]Obsessive-compulsive disorder, unspecified"
192459009,[X] Nightmares or dream anxiety disorder
19694002,Late onset dysthymia
197480006,Anxiety disorder
198288003,Anxiety state
207363009,Anxiety neurosis
207556008,[D]Nervousness
20876004,Inhalant-induced anxiety disorder
21897009,Generalized anxiety disorder
225624000,Panic attack
22621000119103,Anxiety disorder caused by drug
231499006,Endogenous depression first episode
231500002,Masked depression
231502005,Situational panic attack
231503000,Non-situational panic attack
231504006,Mixed anxiety and depressive disorder
231506008,Anxiety hysteria
237349002,Mild postnatal depression
237350002,Severe postnatal depression
247649009,Anxious cognitions
247776002,Depressive preoccupation
247796005,Loss of capacity for enjoyment
247800004,Diurnal variation of mood
247801000,Depression worse in morning
247802007,Depression worse later in day
247803002,Seasonal affective disorder
247805009,Anxiety and fear
2506003,Early onset dysthymia
250833002,Finding of single stimulus depression
251000119105,"Severe major depression, single episode"
25922000,"Major depressive disorder, single episode with postpartum onset"
2618002,Chronic recurrent major depressive disorder
267171009,(Depressed (& symptom)) or (unhappy)
26852004,"Primary degenerative dementia of the Alzheimer type, senile onset, with depression"
268620009,Single major depressive episode
268621008,Recurrent major depressive episodes
268627007,Panic disorder
268657003,Acute stress reaction NOS
268702009,[X]Severe depressive episode without psychotic symptoms
268705006,[X]Other depressive episodes
268706007,"[X]Depressive episode, unspecified"
268707003,[X]Recurrent depressive disorder
268708008,"[X]Recurrent depressive disorder, current episode severe without psychotic symptoms"
268710005,"[X]Recurrent depressive disorder, unspecified"
268957000,"Neurotic condition, insight present"
271951008,Crying associated with mood
271952001,Stress and adjustment reaction
272022009,Complaining of feeling depressed
272024005,Complaining of feeling unhappy
274948002,Endogenous depression - recurrent
279225001,Maternity blues
279611005,Shell shock
281000119103,Severe recurrent major depression
286544004,Panic
300706003,Endogenous depression
300895004,Anxiety attack
310495003,Mild depression
310496002,Moderate depression
310497006,Severe depression
3109008,Secondary dysthymia early onset
313182004,Chronic post-traumatic stress disorder
318784009,"Posttraumatic stress disorder, delayed onset"
319768000,Recurrent major depressive disorder with melancholic features
320751009,"Major depression, melancholic type"
321717001,Involutional depression
34563004,Fear of getting cancer
34938008,Alcohol-induced anxiety disorder
35429005,Anticipatory anxiety
35489007,Depressive disorder
35607004,Panic disorder with agoraphobia
36170009,Secondary dysthymia late onset
36474008,Severe recurrent major depression without psychotic features
36646009,"Anticipatory anxiety, moderate"
366968009,Loss of interest
366969001,Loss of capacity for enjoyment
366979004,Depressed mood
367192008,Loss of interest
367193003,Loss of capacity for enjoyment
367204005,Depressed mood
36923009,"Major depression, single episode"
370143000,Major depressive disorder
371631005,Panic disorder
37868008,Anxiety disorder of adolescence
37872007,Avoidant disorder of childhood OR adolescence
380201000000109,Referral to improving access to psychological therapies programme
380221000000100,Referral to Improving Access to Psychological Therapies programme 
38237000,Feeling anxious
38451003,Primary dysthymia early onset
38694004,Recurrent major depressive disorder with atypical features
389335004,Loss of hope for the future
390068009,Loss of hope for the future
390717003,Mild depression
392721003,Symptoms of depression
392722005,C/O - panic attack
393676006,Symptoms of depression
393677002,C/O - panic attack
394924000,Symptoms of depression
395017009,Complaining of panic attack
397701000000102,[X]Severe depressive episode without psychotic symptoms
39809009,Recurrent major depressive disorder with catatonic features
39951001,Cannabis-induced anxiety disorder
401211000000106,[X] Single episode major depression without psychotic symptoms
402191000000101,[X] Anxiety disorders: [other specified] or [anxiety hysteria]
402441000000102,"[X]Recurrent depressive disorder, current episode severe without psychotic symptoms"
402911000000108,"[X]Obsessive-compulsive disorder, unspecified"
40379007,Mild recurrent major depression
40568001,Recurrent brief depressive disorder
41006004,Depression
41191000000105,Panic attack
41201000000107,Chronic anxiety
41211000000109,Recurrent anxiety
415051000000101,[X]Other depressive episodes
416621000000108,[X]Panic disorder [episodic paroxysmal anxiety]
417523004,Loss of interest in previously enjoyable activity
417620007,On examination - fearful mood
417676004,On examination - panic attack
419311000000100,[X] Depression: [other episodes] or [atypical] or [single episode masked NOS]
424196004,Feeling nervous
427781000000106,[X]Other recurrent depressive disorders
428687006,Nightmares associated with chronic post-traumatic stress disorder
42925002,"Major depressive disorder, single episode with atypical features"
430051000000100,"[X]Recurrent depressive disorder, current episode mild"
430421000000104,[X]Mild depressive episode
430641005,Markedly diminished pleasure
43150009,Panic disorder without agoraphobia with severe panic attacks
432601000000107,"[X]Depressive episode, unspecified"
443919007,Complex posttraumatic stress disorder
446175003,Acute posttraumatic stress disorder following military combat
446180007,Delayed posttraumatic stress disorder following military combat
450714000,Severe major depression
450751000000102,"[X]Anxiety disorder, unspecified"
455421000000106,[X] Depression recurrent: [unspecified] or [monopolar NOS]
455621000000108,[X] Severe depressive episode without psychotic symptoms: (& [single episode agitated depression] or [single episode major depression] or [single episode vital depression])
455731000000100,[X] Single episode agitated depression without psychotic symptoms
456601000000107,[X]Recurrent depressive disorder
465441000000108,[X]Moderate depressive episode
465451000000106,"[X]Recurrent depressive disorder, current episode moderate"
468761000000105,[X]Other anxiety disorders
470951000000103,"[X] (Depression: [episode, unspecified] or [NOS (& reactive)] or [depressive disorder NOS]"
471451000000102,"[X]Recurrent depressive disorder, unspecified"
47372000,Adjustment disorder with anxious mood
47501000000101,Panic attack
47505003,Posttraumatic stress disorder
478661000000105,[X]Other mixed anxiety disorders
48589009,Minor depressive disorder
48694002,Anxiety
501891000000105,[D]Nervousness
509781000000103,Severe major depression without psychotic features
51493001,Cocaine-induced anxiety disorder
52910006,Anxiety disorder due to a general medical condition
530281000000109,"Single major depressive episode, severe, without mention of psychosis"
530291000000106,"Recurrent major depressive episodes, severe, without mention of psychosis"
5509004,Panic disorder with agoraphobia AND severe panic attacks
55967005,Phencyclidine-induced anxiety disorder
56576003,Panic disorder without agoraphobia
571221000000102,Acute stress reaction NOS
57194009,Adjustment disorder with depressed mood
58703003,Postpartum depression
