code,term
F32,Depressive episode
F320,Mild depressive episode
F321,Moderate depressive episode
F322,Severe depressive episode without psychotic symptoms
F323,Severe depressive episode with psychotic symptoms
F328,Other depressive episodes
F329,"Depressive episode, unspecified"
F33,Recurrent depressive disorder
F330,"Recurrent depressive disorder, current episode mild"
F331,"Recurrent depressive disorder, current episode moderate"
F332,"Recurrent depressive disorder, current episode severe without psychotic symptoms"
F333,"Recurrent depressive disorder, current episode severe with psychotic symptoms"
F334,"Recurrent depressive disorder, currently in remission"
F338,Other recurrent depressive disorders
F339,"Recurrent depressive disorder, unspecified"
F341,Dysthymia
F410,Panic disorder [episodic paroxysmal anxiety]
F411,Generalized anxiety disorder
F412,Mixed anxiety and depressive disorder
F413,Other mixed anxiety disorders
F418,Other specified anxiety disorders
F419,"Anxiety disorder, unspecified"
F43,"Reaction to severe stress, and adjustment disorders"
F430,Acute stress reaction
F431,Post-traumatic stress disorder
F432,Adjustment disorders
F438,Other reactions to severe stress
F439,"Reaction to severe stress, unspecified"
F530,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified"
