code,term
7609.,Open operations on oesophageal varices
76093,Local ligation of oesophageal varices
76094,Open injection sclerotherapy to oesophageal varices
7609y,Oesophageal varices operation: [OS open] or [Tanner]
7609z,Open operation on oesophageal varices NOS
760C3,Fibreoptic oesophagoscopy & injection sclerotherapy varices
760C5,Fibreoptic oesophagoscopy and banding of oesophageal varices
760F3,Rigid oesophagoscopy and injection sclerotherapy of varices
760F4,Rigid oesophagoscopy and banding of oesophageal varices
760J4,Balloon tamponade of oesophagus
7800.,Liver transplant
78000,Orthotopic liver transplant
78001,Heterotopic liver transplant
78002,Replacement of previous liver transplant
7800y,Other specified transplantation of liver
7800z,Transplantation of liver NOS
78052,Exploration liver (& transplanted)
A704.,Other specified viral hepatitis with coma
A7040,Viral hepatitis C with coma
A704z,Other specified viral hepatitis with hepatic coma NOS
A706.,Unspecified viral hepatitis with coma
A7071,Chronic viral hepatitis B without delta-agent
A7072,Chronic viral hepatitis C
AyuB1,[X]Other chronic viral hepatitis
AyuB2,"[X]Chronic viral hepatitis, unspecified"
AyuB3,[X]Unspecified viral hepatitis with coma
F10y0,Progressive neuronal degeneration with liver cirrhosis
G850.,Bleeding oesophageal varices
G851.,Oesophageal varices without bleeding
G852.,Oesophageal varices in diseases EC
G8520,Oesophageal varices with bleeding in diseases EC
G8521,Oesophageal varices without bleeding in diseases EC
G852z,Oesophageal varices in diseases EC NOS
G857.,Gastric varices
Gyu94,[X]Oesophageal varices in diseases classified elsewhere
J08z9,Orofacial Crohn's disease
J4...,(Noninf enter/colit) or (inflam bowel dis) or (noninf diarr)
J40..,Enteritis: [regional-Crohn's disease] or [granulomatous]
J400.,Regional enteritis of small bowel
J4000,Crohn's disease of duodenum
J4001,Regional enteritis of the jejunum
J4002,Crohn's disease of terminal ileum
J4003,Crohn's disease of the ileum unspecified
J4004,Crohn's disease of the ileum NOS
J400z,Crohn's disease of the small bowel NOS
J401.,Regional enteritis of the large bowel
J4010,Crohn's colitis
J4011,Crohn's proctitis
J401z,(Crohn's colitis) or (Crohn's disease of large bowel NOS)
J402.,Regional ileocolitis
J40z.,Regional enteritis NOS
J41..,(Idiopath proctocol)/(muc colit/proctit)/(ulc colit/proctit)
J410.,Ulcerative proctocolitis
J4100,Ulcerative ileocolitis
J4103,Ulcerative proctitis
J410z,Ulcerative proctocolitis NOS
J41y.,Other idiopathic proctocolitis
J41yz,Other idiopathic proctocolitis NOS
J41z.,Idiopathic proctocolitis NOS
J6000,Acute hepatic failure
J6010,Subacute hepatic failure
J61..,Cirrhosis and chronic liver disease
J610.,Alcoholic fatty liver
J611.,Acute alcoholic hepatitis
J612.,Cirrhosis: [florid] or [alcoholic]
J613.,Alcoholic liver damage unspecified
J614.,Chronic hepatitis
J6140,Chronic persistent hepatitis
J6141,Chronic active hepatitis
J6142,Chronic aggressive hepatitis
J6143,Recurrent hepatitis
J614y,Chronic hepatitis unspecified
J614z,Chronic hepatitis NOS
J615.,(Cirrhosis - non alcoholic) or (portal cirrhosis)
J6150,Unilobular portal cirrhosis
J6151,Cirrhosis of liver: [multilobular portal] or [postnecrotic]
J6152,Mixed portal cirrhosis
J6153,Diffuse nodular cirrhosis
J6154,Fatty portal cirrhosis
J6155,Macronodular cirrhosis
J6156,Capsular portal cirrhosis
J6157,Cirrhosis: [cardiac portal] or [congestive]
J6158,Cirrhosis: [juv portal] or [childh funct] or [Indian childh]
J6159,Pigmentary portal cirrhosis
J615A,Pipestem portal cirrhosis
J615B,Toxic portal cirrhosis
J615D,Bacterial portal cirrhosis
J615F,Syphilitic portal cirrhosis
J615G,Zooparasitic portal cirrhosis
