code,term
1037391000000102,Anxiety resolved
191605004,"Single major depressive episode, in partial or unspecified remission"
191606003,"Single major depressive episode, in full remission"
191614009,"Recurrent major depressive episodes, in partial or unspecified remission"
191615005,"Recurrent major depressive episodes, in full remission"
192379002,"[X]Recurrent depressive disorder, currently in remission"
33135002,Recurrent major depression in partial remission
424961000000107,"[X]Recurrent depressive disorder, currently in remission"
46244001,Recurrent major depression in full remission
633691000000109,"Single major depressive episode, in partial or unspecified remission"
633711000000106,"Recurrent major depressive episodes, in partial or unspecified remission"
68019004,Recurrent major depression in remission
698693004,Adjustment disorder with anxious mood in remission
764691000000109,"Recurrent major depressive episodes, in partial remission"
764701000000109,"Recurrent major depressive episodes, in remission"
764721000000100,"Single major depressive episode, in partial remission"
