code,term
111483008,Catatonic schizophrenia in remission
111485001,Mixed bipolar I disorder in full remission
12969000,"Severe bipolar II disorder, most recent episode major depressive, in full remission"
191540006,Hebephrenic schizophrenia in remission
191565008,Latent schizophrenia in remission
191574005,Schizoaffective schizophrenia in remission
191588009,Single manic episode in full remission
191597008,"Recurrent manic episodes, in full remission"
191625000,"Bipolar affective disorder, currently manic, in full remission"
191634005,"Bipolar affective disorder, currently depressed, in full remission"
191643001,"Mixed bipolar affective disorder, in full remission"
22121000,Depressed bipolar I disorder in full remission
30935000,Manic bipolar I disorder in full remission
31373002,Disorganized schizophrenia in remission
3530005,"Bipolar I disorder, single manic episode, in full remission"
35481005,Mixed bipolar I disorder in remission
35722002,"Severe bipolar II disorder, most recent episode major depressive, in remission"
36583000,Mixed bipolar I disorder in partial remission
39610001,Undifferentiated schizophrenia in remission
41836007,Bipolar disorder in full remission
45479006,Manic bipolar I disorder in remission
4926007,Schizophrenia in remission
49512000,Depressed bipolar I disorder in partial remission
51133006,Residual schizophrenia in remission
53607008,Depressed bipolar I disorder in remission
5703000,Bipolar disorder in partial remission
60401000119104,Postpartum psychosis in remission
63181006,Paranoid schizophrenia in remission
63249007,Manic bipolar I disorder in partial remission
67002003,"Severe bipolar II disorder, most recent episode major depressive, in partial remission"
698951002,Delusional disorder in remission
723900003,Delusional disorder currently in partial remission
723901004,Delusional disorder currently in full remission
723903001,Bipolar type I disorder currently in full remission
723905008,Bipolar type II disorder currently in full remission
75360000,"Bipolar I disorder, single manic episode, in remission"
755301000000102,Paranoid state in remission
755311000000100,Non-organic psychosis in remission
755321000000106,"Single major depressive episode, severe, with psychosis, psychosis in remission"
755331000000108,"Recurrent major depressive episodes, severe, with psychosis, psychosis in remission"
760721000000109,"Mixed bipolar affective disorder, in partial remission"
764671000000105,"Recurrent manic episodes, in partial remission"
764681000000107,"Recurrent manic episodes, in remission"
764731000000103,Single manic episode in partial remission
764741000000107,Single manic episode in remission
78269000,"Bipolar I disorder, single manic episode, in partial remission"
85248005,Bipolar disorder in remission
