code,term
F20,Schizophrenia
F200,Paranoid schizophrenia
F201,Hebephrenic schizophrenia
F202,Catatonic schizophrenia
F203,Undifferentiated schizophrenia
F204,Post-schizophrenic depression
F205,Residual schizophrenia
F206,Simple schizophrenia
F208,Other schizophrenia
F209,"Schizophrenia, unspecified"
F21,Schizotypal disorder
F22,Persistent delusional disorders
F220,Delusional disorder
F228,Other persistent delusional disorders
F229,"Persistent delusional disorder, unspecified"
F23,Acute and transient psychotic disorders
F230,Acute polymorphic psychotic disorder without symptoms of schizophrenia
F231,Acute polymorphic psychotic disorder with symptoms of schizophrenia
F232,Acute schizophrenia-like psychotic disorder
F233,Other acute predominantly delusional psychotic disorders
F238,Other acute and transient psychotic disorders
F239,"Acute and transient psychotic disorder, unspecified"
F24,Induced delusional disorder
F25,Schizoaffective disorders
F250,"Schizoaffective disorder, manic type"
F251,"Schizoaffective disorder, depressive type"
F252,"Schizoaffective disorder, mixed type"
F258,Other schizoaffective disorders
F259,"Schizoaffective disorder, unspecified"
F28,Other nonorganic psychotic disorders
F29,Unspecified nonorganic psychosis
F30,Manic episode
F300,Hypomania
F301,Mania without psychotic symptoms
F302,Mania with psychotic symptoms
F308,Other manic episodes
F309,"Manic episode, unspecified"
F31,Bipolar affective disorder
F310,"Bipolar affective disorder, current episode hypomanic"
F311,"Bipolar affective disorder, current episode manic without psychotic symptoms"
F312,"Bipolar affective disorder, current episode manic with psychotic symptoms"
F313,"Bipolar affective disorder, current episode mild or moderate depression"
F314,"Bipolar affective disorder, current episode severe depression without psychotic symptoms"
F315,"Bipolar affective disorder, current episode severe depression with psychotic symptoms"
F316,"Bipolar affective disorder, current episode mixed"
F317,"Bipolar affective disorder, currently in remission"
F318,Other bipolar affective disorders
F319,"Bipolar affective disorder, unspecified"
F32,Depressive episode
F320,Mild depressive episode
F321,Moderate depressive episode
F322,Severe depressive episode without psychotic symptoms
F323,Severe depressive episode with psychotic symptoms
F328,Other depressive episodes
F329,"Depressive episode, unspecified"
F33,Recurrent depressive disorder
F330,"Recurrent depressive disorder, current episode mild"
F331,"Recurrent depressive disorder, current episode moderate"
F332,"Recurrent depressive disorder, current episode severe without psychotic symptoms"
F333,"Recurrent depressive disorder, current episode severe with psychotic symptoms"
F334,"Recurrent depressive disorder, currently in remission"
F338,Other recurrent depressive disorders
F339,"Recurrent depressive disorder, unspecified"
F34,Persistent mood [affective] disorders
F340,Cyclothymia
F341,Dysthymia
F348,Other persistent mood [affective] disorders
F349,"Persistent mood [affective] disorder, unspecified"
F38,Other mood [affective] disorders
F380,Other single mood [affective] disorders
