code,term
13B1.,Diabetic diet
42WZ.,Hb. A1C - diabetic control NOS
44V3.,Glucose tol. test diabetic
66A3.,Diabetic on diet only
66A4.,Diabetic on oral treatment
66A5.,Diabetic on insulin
66A8.,Has seen dietitian - diabetes
66A9.,Understands diet - diabetes
66AA.,Injection sites (& diabetic)
66AG.,Diabetic drug side effects
66AH.,Diabetic treatment changed
66AH0,Conversion to insulin
66AI.,Diabetic - good control
66AJ.,Diabetic - poor control (& unstable)
66AJ0,Chronic hyperglycaemia
66AJ1,[Brittle] and/or [labile diabetes]
66AJ2,Loss of hypoglycaemic warning
66AJ3,Recurrent severe hypos
66AJz,Diabetic - poor control NOS
66AK.,Diabetic - cooperative patient
66AL.,Diabetic-uncooperative patient
66AM.,Diabetic - follow-up default
66AN.,Date diabetic treatment start
66AP.,Diabetes: practice programme
66AQ.,Diabetes: shared care programme
66AR.,Diabetes management plan given
66AS.,Diabetic annual review
66AT.,Annual diabetic blood test
7L100,Continuous subcutaneous infusion of insulin
8A12.,Diabetic crisis monitoring
8A13.,Diabetic stabilisation
8CA41,Patient advised about diabetic diet
8H2J.,Admit diabetic emergency
8H3O.,Non-urgent diabetic admission
8H7C.,"Refer, diabetic liaison nurse"
8HKE.,Diabetology domiciliary visit requested
8HLE.,Diabetology D.V. done
8HME.,Listed for Diabetology admissn
9NM0.,Attending diabetes clinic
9OL..,Diabetes administration: [monitoring] or [clinic]
9OL1.,Attends diabetes monitoring
9OL2.,Refuses diabetes monitoring
9OL3.,Diabetes monitoring default
9OL4.,Diabetes monitoring first letter
9OL5.,Diabetes monitoring second letter
9OL6.,Diabetes monitoring third letter
9OL7.,Diabetes monitoring verbal invite
9OL8.,Diabetes monitoring telephone invite
9OL9.,Diabetes monitoring deleted
9OLA.,Diabetes monitored (& check done)
9OLZ.,Diabetes monitoring admin.NOS
C10..,Diabetes mellitus
C100.,Diabetes mellitus with no mention of complication
C1000,"Diabetes mellit: [juv type, no mention compl] or [insul dep]"
C1001,"Diab mell: [adult ons, no ment comp][mat onset][non-ins dep]"
C100z,Diabetes mellitus NOS with no mention of complication
C101.,Diabetic ketoacidosis
C1010,Type 1 diabetes mellitus with ketoacidosis
C1011,Type 2 diabetes mellitus with ketoacidosis
C101y,Other specified diabetes mellitus with ketoacidosis
C101z,Diabetes mellitus NOS with ketoacidosis
C102.,Diabetes mellitus with hyperosmolar coma
C1020,"Diabetes mellitus, juvenile type, with hyperosmolar coma"
C1021,"Diabetes mellitus, adult onset, with hyperosmolar coma"
C102z,Diabetes mellitus NOS with hyperosmolar coma
C103.,Diabetes mellitus with ketoacidotic coma
C1030,Type 1 diabetes mellitus with ketoacidotic coma
C1031,Type II diabetes mellitus with ketoacidotic coma
C103y,Other specified diabetes mellitus with coma
C103z,Diabetes mellitus NOS with ketoacidotic coma
C104.,Diabetes mellitus: [with renal manifestatn] or [nephropathy]
C1040,"Diabetes mellitus, juvenile type, with renal manifestation"
C1041,"Diabetes mellitus, adult onset, with renal manifestation"
C104y,Other specified diabetes mellitus with renal complications
C104z,Diabetes mellitus with nephropathy NOS
C105.,Diabetes mellitus with ophthalmic manifestation
C1050,"Diabetes mellitus, juvenile type, + ophthalmic manifestation"
C1051,"Diabetes mellitus, adult onset, + ophthalmic manifestation"
C105y,Other specified diabetes mellitus with ophthalmic complicatn
C105z,Diabetes mellitus NOS with ophthalmic manifestation
C106.,Diab mell + neuro manif: (& [amyotroph][neurop][polyneurop])
C1060,"Diabetes mellitus, juvenile, + neurological manifestation"
C1061,"Diabetes mellitus, adult onset, + neurological manifestation"
C106y,Other specified diabetes mellitus with neurological comps
C106z,Diabetes mellitus NOS with neurological manifestation
C107.,Diabetes mellitus with: [gangrene] or [periph circul disord]
C1070,"Diabetes mellitus, juvenile +peripheral circulatory disorder"
C1071,"Diabetes mellitus, adult, + peripheral circulatory disorder"
C1072,"Diabetes mellitus, adult with gangrene"
C1073,IDDM with peripheral circulatory disorder
C1074,NIDDM with peripheral circulatory disorder
C107y,Other specified diabetes mellitus with periph circ comps
C107z,Diabetes mellitus NOS with peripheral circulatory disorder
C1080,Type I diabetes mellitus with renal complications
C1081,Type I diabetes mellitus with ophthalmic complications
C1082,Type I diabetes mellitus with neurological complications
C1083,Type I diabetes mellitus with multiple complications
C1085,Type I diabetes mellitus with ulcer
C1086,Type I diabetes mellitus with gangrene
C1087,Type I diabetes mellitus with retinopathy
C1088,Type I diabetes mellitus - poor control
C1089,Type I diabetes mellitus maturity onset
C108y,Other specified diabetes mellitus with multiple comps
C108z,Unspecified diabetes mellitus with multiple complications
C109.,Type II diabetes mellitus
C1090,Type II diabetes mellitus with renal complications
C1091,Type II diabetes mellitus with ophthalmic complications
C1092,Type II diabetes mellitus with neurological complications
C1093,Type II diabetes mellitus with multiple complications
C1094,Type II diabetes mellitus with ulcer
C1095,Type II diabetes mellitus with gangrene
C1096,Type II diabetes mellitus with retinopathy
C1097,Type II diabetes mellitus - poor control
C10y.,Diabetes mellitus with other specified manifestation
C10y0,"Diabetes mellitus, juvenile, + other specified manifestation"
C10y1,"Diabetes mellitus, adult, + other specified manifestation"
C10yy,Other specified diabetes mellitus with other spec comps
C10yz,Diabetes mellitus NOS with other specified manifestation
C10z.,Diabetes mellitus with unspecified complication
C10z0,"Diabetes mellitus, juvenile type, + unspecified complication"
C10z1,"Diabetes mellitus, adult onset, + unspecified complication"
C10zy,Other specified diabetes mellitus with unspecified comps
C10zz,Diabetes mellitus NOS with unspecified complication
C110.,Coma: [hypoglycaemic] or [insulin]
C110z,Hypoglycaemic coma NOS
Cyu20,[X]Other specified diabetes mellitus
Cyu21,[X]Malnutrit-relat diabetes mellitus with other spec comps
Cyu22,[X]Malnutrit-related diabetes mellitus with unspec complics
Cyu23,[X]Unspecified diabetes mellitus with renal complications
F1711,Diabetic autonomic neuropathy
F3450,Diabetic mononeuritis multiplex
F35z0,Diabetic mononeuritis NOS
F372.,Diabetic neuropathy &/or diabetic polyneuropathy
F3720,Acute painful diabetic neuropathy
F3721,Chronic painful diabetic neuropathy
F3722,Asymptomatic diabetic neuropathy
F3813,(Myasth syndr due to diab amyotroph) or (diab amyotroph)
F3y0.,Diabetic mononeuropathy
