code,term
192348001,Mood disorder
46206005,Mood disorder
723928009,Mood disorder with depressive symptoms caused by alcohol
723930006,Mood disorder with mixed manic and depressive symptoms caused by alcohol
724676000,Mood disorder with depressive symptoms caused by sedative
724677009,Mood disorder with depressive symptoms caused by hypnotic
724678004,Mood disorder with depressive symptoms caused by anxiolytic
724682002,Mood disorder with mixed depressive and manic symptoms caused by sedative
724683007,Mood disorder with mixed depressive and manic symptoms caused by hypnotic
724684001,Mood disorder with mixed depressive and manic symptoms caused by anxiolytic
724690002,Mood disorder with depressive symptoms caused by cocaine
724692005,Mood disorder with mixed depressive and manic symptoms caused by cocaine
75837004,Mood disorder with depressive features due to general medical condition
762321000,Mood disorder with depressive symptoms caused by opioid
762322007,Mood disorder with mixed depressive and manic symptoms caused by opioid
762329003,Mood disorder with depressive symptoms caused by stimulant
762330008,Mood disorder with mixed depressive and manic symptoms caused by stimulant
762336002,Mood disorder with depressive symptoms caused by hallucinogen
762337006,Mood disorder with mixed depressive and manic symptoms caused by hallucinogen
762339009,Mood disorder with depressive symptoms caused by volatile inhalant
762340006,Mood disorder with mixed depressive and manic symptoms caused by volatile inhalant
762345001,Mood disorder with depressive symptoms caused by dissociative drug
762346000,Mood disorder with mixed depressive and manic symptoms caused by dissociative drug
762512002,Mood disorder with depressive symptoms caused by synthetic cathinone
77486005,Mood disorder with major depressive-like episode due to general medical condition
838529004,Mood disorder with mixed depressive and manic symptoms caused by amfetamine and amfetamine derivative
838530009,Mood disorder with depressive symptoms caused by amfetamine and amfetamine derivative
