code,term
100141000000106,Body mass index 40+ - severely obese
111034002,Hyperplasmic obesity
111035001,Hypoplasmic obesity
111036000,Hyperinsulinar obesity
111375001,Buffalo obesity
123291007,Buffalo obesity
139917004,O/E - obese
139991002,O/E weight: [>20% over ideal] or [obese]
140080004,Body mass index 30+ - obesity
154774004,(Hyperalimentation including obesity) or (adiposity)
154776002,Obesity
162690006,On examination - obese
162768003,O/E weight: [>20% over ideal] or [obese]
162864005,Body mass index 30+ - obesity
190962009,Obesity and other hyperalimentation
190963004,Obesity
190964005,Obesity due to excess calories
190965006,Drug-induced obesity
190966007,Extreme obesity with alveolar hypoventilation
190967003,Morbid obesity
190974008,Obesity and other hyperalimentation NOS
190975009,Simple obesity NOS
191090003,[X]Obesity and other hyperalimentation
191091004,[X]Other obesity
22910008,Impaired glucose tolerance in obese
238132000,Android obesity
238133005,Gynecoid obesity
238134004,Generalized obesity
238136002,Morbid obesity
248311001,Central obesity
248312008,Peripheral obesity
267511009,(Hyperalimentation including obesity) or (adiposity)
268916007,On examination - weight greater than 20% over ideal
276792008,Pulmonary hypertension with extreme obesity
289507000,Alimentary obesity
290439001,Familial obesity
291451008,Exogenous obesity
292464007,Constitutional obesity
293481008,Hyperplastic-hypertrophic obesity
295509007,Hypertrophic obesity
296526005,Adult-onset obesity
297500005,Endogenous obesity
298464002,Obesity of endocrine origin
30554005,Constitutional obesity
308124008,Simple obesity NOS
360566006,Buffalo obesity
363247006,Obesity associated disorder
363307002,Obesity associated adipose tissue distribution pattern
38293004,Obesity of endocrine origin
389986000,Morbid obesity
408512008,Body mass index 40+ - severely obese
413487000,Amenorrhea associated with obesity
414438005,Hyperplastic obesity
414915002,Obese
414916001,Obesity
414917005,Obesity by adipocyte growth pattern
414918000,Obesity by age of onset
414919008,Obesity by contributing factors
414920002,Obesity by fat distribution pattern
415530009,Simple obesity
416321000000103,[X]Obesity and other hyperalimentation
443371000124107,Obese class I
443381000124105,Obese class II
452911000000100,[X]Other obesity
47491000000107,Central obesity
50261000000101,Central obesity
5036006,Hypogonadal obesity
53146006,Hypothyroid obesity
5476005,Adiposity
62999006,Adiposogenital dystrophy
640791000000105,Obesity and other hyperalimentation
640801000000109,Obesity and other hyperalimentation NOS
673781000000101,Simple obesity NOS
703316004,Lymphedema associated with obesity
71223007,Adult-onset obesity
717761005,Choroideremia with deafness and obesity syndrome
722053001,Obesity due to prohormone convertase I deficiency
722596001,Obesity caused by energy imbalance
760681000000102,Adult-onset obesity
776204008,"Colobomatous microphthalmia, obesity, hypogenitalism, intellectual disability syndrome"
778141000000107,Adult-onset obesity
783549006,Obesity due to centrosomal protein 19 deficiency
78501000000101,Generalised obesity
78897001,Pickwickian syndrome
788996008,Obesity in adolescence
81531005,Diabetes mellitus type 2 in obese
819948005,Obese class III
82793005,Hypothalamic obesity
83291000000106,Generalised obesity
83911000119104,Severe obesity
882541000000108,Lymphoedema associated with obesity
914721000000105,Obese class I (body mass index 30.0 - 34.9)
914731000000107,Obese class II (body mass index 35.0 - 39.9)
914741000000103,Obese class III (body mass index equal to or greater than 40.0)
917151000000106,Obese class I (body mass index 30.0 - 34.9)
917161000000109,Obese class II (body mass index 35.0 - 39.9)
917171000000102,Obese class III (body mass index equal to or greater than 40.0)
95271000000107,Body mass index 40+ - severely obese
