code,term
100141000000106,Body mass index 40+ - severely obese
1003380001,6q16 microdeletion syndrome
10750551000119100,Obesity in mother complicating childbirth
1076701000119104,Hypertrophy of fat pad of right knee
1076711000119101,Hypertrophy of fat pad of left knee
111034002,Hyperplasmic obesity
111035001,Hypoplasmic obesity
111036000,Hyperinsulinar obesity
111375001,Buffalo obesity
123291007,Buffalo obesity
139917004,O/E - obese
139990001,O/E - overweight (& [weight 10-20% over ideal])
139991002,O/E weight: [>20% over ideal] or [obese]
140077000,Body mass index high K/M2
140079002,Body mass index index 25-29 - overweight
140080004,Body mass index 30+ - obesity
148022008,Has seen dietitian - obesity
148024009,Treatment of obesity started
148032001,Reason for obesity therapy - occupational
154774004,(Hyperalimentation including obesity) or (adiposity)
154776002,Obesity
15750121000119108,Pre-existing severe obesity in mother complicating pregnancy
162690006,On examination - obese
162767008,O/E - overweight (& [weight 10-20% over ideal])
162768003,O/E weight: [>20% over ideal] or [obese]
162861002,Body mass index high K/M2
162863004,Body mass index 25-29 - overweight
162864005,Body mass index 30+ - obesity
170794003,Initial obesity assessment
170795002,Follow-up obesity assessment
170799008,Treatment of obesity started
171000119107,"Maternal obesity complicating pregnancy, childbirth and the puerperium, antepartum"
190962009,Obesity and other hyperalimentation
190963004,Obesity
190964005,Obesity due to excess calories
190965006,Drug-induced obesity
190966007,Extreme obesity with alveolar hypoventilation
190967003,Morbid obesity
190974008,Obesity and other hyperalimentation NOS
190975009,Simple obesity NOS
191090003,[X]Obesity and other hyperalimentation
191091004,[X]Other obesity
199072001,(Gestational oedema &/or non-hypertension excessive weight gain) or (maternal obesity syndrome)
22910008,Impaired glucose tolerance in obese
238131007,Overweight
238132000,Android obesity
238133005,Gynecoid obesity
238134004,Generalized obesity
238135003,Fat pad syndrome
238136002,Morbid obesity
248311001,Central obesity
248312008,Peripheral obesity
249533007,Obese abdomen
267511009,(Hyperalimentation including obesity) or (adiposity)
268522006,Obesity monitoring
268523001,Target weight discussed
268915006,On examination - weight 10-20% over ideal
268916007,On examination - weight greater than 20% over ideal
270486005,Localized obesity
271590003,Obese build
275947003,On examination - overweight
276792008,Pulmonary hypertension with extreme obesity
289507000,Alimentary obesity
290439001,Familial obesity
291451008,Exogenous obesity
292464007,Constitutional obesity
293481008,Hyperplastic-hypertrophic obesity
294493008,Lifelong obesity
295509007,Hypertrophic obesity
296526005,Adult-onset obesity
297500005,Endogenous obesity
298464002,Obesity of endocrine origin
30554005,Constitutional obesity
308124008,Simple obesity NOS
360566006,Buffalo obesity
363247006,Obesity associated disorder
363307002,Obesity associated adipose tissue distribution pattern
38293004,Obesity of endocrine origin
