code,term
161474000,History of attempted suicide
219174008,Late effect of self inflicted injury
23233009,Previous known suicide attempt
314550003,History of deliberate self harm
390867000,History of repeated overdose
5.52182627e-316,Poisoning caused by mixed sedative
5.5219741e-316,Poisoning caused by tranquilizer
6.47067925e-316,Self-mutilation
8.5742129e-316,Poking own eyes
8.62075403e-316,Gouging own eyes
1.08253738e-315,"Suicide and selfinflicted poisoning by analgesics, antipyretics and anti-rheumatics"
1.08260655e-315,Self poisoning by corrosive or caustic substance
1.082611465e-315,Self poisoning caused by arsenic or its compounds
1.08262138e-315,Suicide and selfinflicted poisoning by gases in domestic use
1.082626327e-315,Suicide and selfinflicted poisoning by gas distributed by pipeline
1.082631248e-315,Suicide and selfinflicted poisoning by liquefied petroleum gas distributed in mobile containers
1.082651015e-315,Self poisoning caused by motor vehicle exhaust gas
1.08268068e-315,Suicide or attempted suicide by hanging
1.082700436e-315,Suicide and selfinflicted injury by drowning
1.082705343e-315,Suicide or selfinflicted injury by firearms and explosives
1.08271522e-315,Suicide or selfinflicted injury by shotgun
1.08274489e-315,Suicide or selfinflicted injury by cutting and stabbing
1.08274985e-315,Suicide or selfinflicted injury by cutting
1.082754754e-315,Self inflicted lacerations to wrist
1.08275972e-315,Suicide or selfinflicted injury by stabbing
1.082769566e-315,Suicide or self injury by jumping from a height
1.082833834e-315,Suicide or self injury by electric current
1.083624315e-315,"Hanging, strangulation or suffocation of unknown intent"
1.08365397e-315,Injury of unknown intent by firearms and explosives
1.08366386e-315,Injury of unknown intent by shotgun
1.08366878e-315,Injury of unknown intent by hunting rifle
1.083673746e-315,Injury of unknown intent by military firearm
1.0836836e-315,Injury of unknown intent by explosive
1.0836935e-315,Injury of unknown intent by sharp instrument
1.083698414e-315,Injury of unknown intent by cutting instrument
1.083703385e-315,Injury of unknown intent by stabbing instrument
1.083713276e-315,Injury of unknown intent due to fall from height
1.083777465e-315,Injury of unknown intent by electrocution
1.09779411e-315,"[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at school, other institution and public administrative area"
1.0978139e-315,"[X]Intentional self harm by rifle, shotgun and larger firearm discharge, occurrence at industrial and construction area"
1.100575707e-315,"[X]Hanging, strangulation and suffocation undetermined intent"
1.100743694e-315,"[X]Rifle, shotgun and larger firearm discharge, undetermined intent"
1.100798046e-315,"[X]Other and unspecified firearm discharge, undetermined intent"
1.111375977e-315,Self-incineration
1.111380913e-315,Self-electrocution
1.111385873e-315,Shooting self
1.11139079e-315,Throwing self in front of vehicle
1.11139577e-315,Throwing self in front of train
1.11140071e-315,Jumping from cliff
1.11187006e-315,Cutting own throat
1.11187501e-315,Jumping from bridge
1.11187993e-315,Jumping from building
1.111884894e-315,Jumping from height
1.111889795e-315,Hanging self
1.111894736e-315,Drowning self
1.11189968e-315,Self-suffocation
1.111904657e-315,Self-strangulation
1.111909573e-315,Self-asphyxiation
1.18605893006347e-309,Intentional drug overdose by drug paraphernalia
1.186157743192657e-309,Intentional drug overdose by tablets
1.19442346e-315,Poisoning caused by sodium valproate
1.199705063e-315,Intentional non-opiate analgesic overdose
1.199709974e-315,Intentional paracetamol overdose
1.19971491e-315,Intentional aspirin overdose
1.199729746e-315,Intentional opiate analgesic overdose
1.1997347e-315,Intentional diamorphine overdose
1.19973962e-315,Intentional dihydrocodeine overdose
1.199744563e-315,Intentional methadone overdose
1.199749514e-315,Intentional benzodiazepine overdose
1.19975443e-315,Intentional diazepam overdose
1.1997594e-315,Intentional chlordiazepoxide overdose
1.199764346e-315,Intentional temazepam overdose
1.19976929e-315,Self poisoning by non-drug solid or liquid agents
1.19977421e-315,Self poisoning by paraquat
1.19978408e-315,Self poisoning by gas
1.22558915e-315,Self-injurious behavior
1.22559904e-315,Self-mutilation of hands
1.225603984e-315,Self-mutilation of penis
1.22560893e-315,Self-mutilation of eyes
1.225613826e-315,Self-mutilation of ears
1.22561879e-315,Self-inflicted skin problems
1.225623717e-315,Biting own hand
1.225628653e-315,Head-hitting
1.2256336e-315,Scratches self
1.225638573e-315,Biting self
1.22564349e-315,Cutting self
1.225648435e-315,Swallowing objects
1.332618583e-315,Suicide and selfinflicted injury
1.33262352e-315,Suicide and selfinflicted injury by suffocation by plastic bag
1.332667995e-315,Injury undetermined whether accidentally or purposely inflicted
1.33302866e-315,Attempt suicide - car exhaust
1.34376966e-315,Intentional self poisoning
1.35824577e-315,Self poisoning by agricultural chemical
1.367835607e-315,Self inflicted injury
1.369209065e-315,Intentional non-steroidal anti-inflammatory agent overdose
1.406555507e-315,Self-mutilation of genitalia
1.40656043e-315,Enucleation of own eyes
1.40657032e-315,Self-inducing a prolapse
1.40657529e-315,Breaking own bones
1.406580235e-315,Pulling own teeth out
1.406585156e-315,Removing own nails
1.406590077e-315,Eating own flesh
1.40659997e-315,Stripping own skin
1.4066148e-315,Gouging own body parts
1.406619716e-315,Gouging own flesh
1.40662963e-315,Gouging own rectum
1.406634577e-315,Banging own head against object
1.4066395e-315,Banging own head against own body parts
1.406644463e-315,Biting own arm
1.406649365e-315,Biting own tongue
1.40665433e-315,Biting sides of own cheeks
1.406807495e-315,Swallowing substances
1.4068124e-315,Inserting foreign bodies into own orifices
1.406817367e-315,Throwing self onto floor
1.4068223e-315,Burning self
1.406861813e-315,Damaging own wounds
1.40686678e-315,Reopening scars
1.40687169e-315,Pulling out sutures
1.40687665e-315,Poking fingers into wound
1.406881585e-315,Hitting self
1.406886546e-315,Punching self
1.40689146e-315,Slapping self
1.406896417e-315,Stabbing self
1.406901333e-315,Picking own skin
1.40690628e-315,Rubbing own skin
1.40691617e-315,Nipping self
1.40692114e-315,Pinching self
1.408764005e-315,Biting own fingers
1.40876892e-315,Biting own toes
1.40878867e-315,Self-scalding
1.40883808e-315,Gouging own vagina
1.41886266e-315,Attempted suicide - hanging
