code,term
X70,"Intentional self-harm by hanging, strangulation and suffocation"
X71,Intentional self-harm by drowning and submersion
X72,Intentional self-harm by handgun discharge
X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge"
X74,Intentional self-harm by other and unspecified firearm discharge
X75,Intentional self-harm by explosive material
X76,"Intentional self-harm by smoke, fire and flames"
X77,"Intentional self-harm by steam, hot vapours and hot objects"
X78,Intentional self-harm by sharp object
X79,Intentional self-harm by blunt object
X80,Intentional self-harm by jumping from a high place
X81,Intentional self-harm by jumping or lying before moving object
X82,Intentional self-harm by crashing of motor vehicle
X83,Intentional self-harm by other specified means
X84,Intentional self-harm by unspecified means
