code,term
102940002,Schizophrenic reaction
1086471000000103,"Recurrent reactive depressive episodes, severe, with psychosis"
10875004,"Severe mixed bipolar I disorder with psychotic features, mood-incongruent"
1089481000000106,Cataleptic schizophrenia
1089511000000100,Recurrent depression with current severe episode and psychotic features
1089661000000104,Mania with mood-congruent psychotic features
1089671000000106,Mania with mood-incongruent psychotic features
1089681000000108,Mania with psychotic features
1089691000000105,Acute predominantly delusional psychotic disorder
1097161000000100,Referral for cognitive behavioural therapy for psychosis
10981006,Severe mixed bipolar I disorder with psychotic features
111482003,Subchronic schizophrenia with acute exacerbations
111483008,Catatonic schizophrenia in remission
111484002,Undifferentiated schizophrenia
1127191000000108,First episode psychosis
1196001,"Chronic bipolar II disorder, most recent episode major depressive"
12939007,Chronic disorganized schizophrenia
129602009,Symbiotic infantile psychosis
133091000119105,Rapid cycling bipolar I disorder
13313007,Mild bipolar disorder
13581000,"Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent"
13746004,Bipolar disorder
14291003,Subchronic disorganized schizophrenia with acute exacerbations
14495005,"Severe bipolar I disorder, single manic episode without psychotic features"
1499003,"Bipolar I disorder, single manic episode with postpartum onset"
15193003,"Severe recurrent major depression with psychotic features, mood-incongruent"
154865007,Schizophrenic psychoses (& [paranoid schizophrenia])
154866008,Simple schizophrenia
154867004,Hebephrenic schizophrenia
154868009,Catatonic schizophrenia
154869001,(Paranoid schizophrenia) or (paraphrenia)
154870000,Schizophrenia NOS
154871001,Affective psychoses: [manic depressive] or [involutional melancholia]
162004,Severe manic bipolar I disorder without psychotic features
16238741000119105,Bipolar disorder caused by drug
16295005,"Bipolar II disorder, most recent episode major depressive"
16506000,Mixed bipolar I disorder
16990005,Subchronic schizophrenia
17262008,Non-alcoholic Korsakoff's psychosis
17435002,Chronic paranoid schizophrenia with acute exacerbations
17782008,"Bipolar I disorder, most recent episode manic with catatonic features"
18260003,Postpartum psychosis
191471000,Korsakov's alcoholic psychosis with peripheral neuritis
191483003,Drug-induced psychosis
